ROI_type,dice_coef,task,,,
Posterior,0.88332812,train,,,
Posterior,0.885874373,train,,,
Posterior,0.840768278,train,,,
Posterior,0.835718374,train,,,
Posterior,0.908545727,train,,,
Posterior,0.901769372,train,,,
Posterior,0.819994951,train,,,
Posterior,0.81613462,train,,,
Posterior,0.919289498,train,,,
Posterior,0.870712401,train,,,
Posterior,0.854221443,train,,,
Posterior,0.878700361,train,,,
Posterior,0.903448276,train,,,
Posterior,0.902147971,train,,,
Posterior,0.889222456,train,,,
Posterior,0.886929134,train,,,
Posterior,0.926816654,train,,,
Posterior,0.93145275,train,,,
Posterior,0.903819918,train,,,
Posterior,0.903587444,train,,,
Posterior,0.941863862,train,,,
Posterior,0.897513645,train,,,
Posterior,0.940524194,train,,,
Posterior,0.894234441,train,,,
Posterior,0.909807011,train,,,
Posterior,0.853871648,train,,,
Posterior,0.887072358,train,,,
Posterior,0.929515419,train,,,
Posterior,0.919943423,train,,,
Posterior,0.924309884,train,,,
Posterior,0.925577417,train,,,
Posterior,0.940076965,train,,,
Posterior,0.904208195,train,,,
Posterior,0.903406202,train,,,
Posterior,0.905849862,train,,,
Posterior,0.902251354,train,,,
Posterior,0.925094725,train,,,
Posterior,0.921018781,train,,,
Posterior,0.896652965,train,,,
Posterior,0.872738239,train,,,
Posterior,0.899769964,train,,,
Posterior,0.919708029,train,,,
Posterior,0.917146974,train,,,
Posterior,0.844214162,train,,,
Posterior,0.889079966,train,,,
Posterior,0.864728899,train,,,
Posterior,0.863636364,train,,,
Posterior,0.888187872,train,,,
Posterior,0.91082129,train,,,
Posterior,0.936945813,train,,,
Posterior,0.935500787,train,,,
Posterior,0.937024643,train,,,
Posterior,0.844030118,train,,,
Posterior,0.907366424,train,,,
Posterior,0.913193356,train,,,
Posterior,0.879932117,train,,,
Posterior,0.928994083,train,,,
Posterior,0.905692438,train,,,
Posterior,0.909794582,train,,,
Posterior,0.907828984,train,,,
Posterior,0.909655387,train,,,
Posterior,0.891184065,train,,,
Posterior,0.908585332,train,,,
Posterior,0.92202659,train,,,
Posterior,0.904397706,train,,,
Posterior,0.901776735,train,,,
Posterior,0.907332796,train,,,
Posterior,0.92703533,train,,,
Posterior,0.894853173,train,,,
Posterior,0.926262943,train,,,
Posterior,0.879704797,train,,,
Posterior,0.922734499,train,,,
Posterior,0.898996236,train,,,
Posterior,0.914300465,train,,,
Posterior,0.919461164,train,,,
Posterior,0.843480843,train,,,
Posterior,0.843578819,train,,,
Posterior,0.895187166,train,,,
Posterior,0.855957321,train,,,
Posterior,0.918021905,train,,,
Posterior,0.925673973,train,,,
Posterior,0.907286646,train,,,
Posterior,0.894161557,train,,,
Posterior,0.854075159,train,,,
Posterior,0.898151261,train,,,
Posterior,0.9,train,,,
Posterior,0.895311496,train,,,
Posterior,0.879539952,train,,,
Posterior,0.924378924,train,,,
Posterior,0.911167513,train,,,
Posterior,0.908952574,train,,,
Posterior,0.921015515,train,,,
Posterior,0.898155573,train,,,
Posterior,0.862042089,train,,,
Posterior,0.914436736,train,,,
Posterior,0.946554622,train,,,
Posterior,0.91479159,train,,,
Posterior,0.888525484,train,,,
Posterior,0.917554683,train,,,
Posterior,0.935793925,train,,,
Posterior,0.916346892,train,,,
Posterior,0.919168591,train,,,
Posterior,0.908414425,train,,,
Posterior,0.901721664,train,,,
Posterior,0.910662824,train,,,
Posterior,0.937517053,train,,,
Posterior,0.915428918,train,,,
Posterior,0.896090173,train,,,
Posterior,0.906647294,train,,,
Posterior,0.919042189,train,,,
Posterior,0.923130435,train,,,
Posterior,0.927379553,train,,,
Posterior,0.907622058,train,,,
Posterior,0.923601995,train,,,
Posterior,0.923519264,train,,,
Posterior,0.911821086,train,,,
Posterior,0.848333333,train,,,
Posterior,0.900814212,train,,,
Posterior,0.846277022,train,,,
Posterior,0.876300578,train,,,
Posterior,0.860795455,train,,,
Posterior,0.890329271,train,,,
Posterior,0.88939308,train,,,
Posterior,0.896576839,train,,,
Posterior,0.890991362,train,,,
Posterior,0.921102066,train,,,
Posterior,0.805405405,train,,,
Posterior,0.929287146,train,,,
Posterior,0.914742451,train,,,
Posterior,0.88493794,train,,,
Posterior,0.889845712,train,,,
Posterior,0.864092429,train,,,
Posterior,0.885197271,train,,,
Posterior,0.818070818,train,,,
Posterior,0.847908745,train,,,
Posterior,0.885144622,train,,,
Posterior,0.922158796,train,,,
Posterior,0.850344396,train,,,
Posterior,0.850832266,train,,,
Posterior,0.826651921,train,,,
Posterior,0.845095694,train,,,
Posterior,0.904007456,train,,,
Posterior,0.881502001,train,,,
Posterior,0.903271192,train,,,
Posterior,0.934846029,train,,,
Posterior,0.868386243,train,,,
Posterior,0.846989721,train,,,
Posterior,0.89915704,train,,,
Posterior,0.915565767,train,,,
Posterior,0.852293821,train,,,
Posterior,0.928256928,train,,,
Posterior,0.915959907,train,,,
Posterior,0.881570997,train,,,
Posterior,0.856160458,train,,,
Posterior,0.855445545,train,,,
Posterior,0.845158761,train,,,
Posterior,0.89546716,train,,,
Posterior,0.907805596,train,,,
Posterior,0.875159778,train,,,
Posterior,0.836025848,train,,,
Posterior,0.817235189,train,,,
Posterior,0.90382387,train,,,
Whole Hippocampus,0.921820303,train,,,
Whole Hippocampus,0.908956329,train,,,
Whole Hippocampus,0.900245298,train,,,
Whole Hippocampus,0.916555001,train,,,
Whole Hippocampus,0.927452952,train,,,
Whole Hippocampus,0.932061979,train,,,
Whole Hippocampus,0.932983683,train,,,
Whole Hippocampus,0.88897893,train,,,
Whole Hippocampus,0.872702748,train,,,
Whole Hippocampus,0.930335097,train,,,
Whole Hippocampus,0.886630404,train,,,
Whole Hippocampus,0.897959184,train,,,
Whole Hippocampus,0.887757909,train,,,
Whole Hippocampus,0.914464621,train,,,
Whole Hippocampus,0.899090642,train,,,
Whole Hippocampus,0.918124563,train,,,
Whole Hippocampus,0.926689576,train,,,
Whole Hippocampus,0.935612536,train,,,
Whole Hippocampus,0.914771894,train,,,
Whole Hippocampus,0.920739573,train,,,
Whole Hippocampus,0.867223185,train,,,
Whole Hippocampus,0.866294866,train,,,
Whole Hippocampus,0.933764136,train,,,
Whole Hippocampus,0.928043231,train,,,
Whole Hippocampus,0.830403029,train,,,
Whole Hippocampus,0.839905363,train,,,
Whole Hippocampus,0.924859015,train,,,
Whole Hippocampus,0.897461929,train,,,
Whole Hippocampus,0.893060471,train,,,
Whole Hippocampus,0.924825705,train,,,
Whole Hippocampus,0.922627737,train,,,
Whole Hippocampus,0.926525852,train,,,
Whole Hippocampus,0.926766869,train,,,
Whole Hippocampus,0.930372149,train,,,
Whole Hippocampus,0.938798271,train,,,
Whole Hippocampus,0.938318262,train,,,
Whole Hippocampus,0.911934716,train,,,
Whole Hippocampus,0.928883344,train,,,
Whole Hippocampus,0.94583576,train,,,
Whole Hippocampus,0.920785376,train,,,
Whole Hippocampus,0.941509434,train,,,
Whole Hippocampus,0.93551317,train,,,
Whole Hippocampus,0.939693356,train,,,
Whole Hippocampus,0.890729439,train,,,
Whole Hippocampus,0.914388021,train,,,
Whole Hippocampus,0.935409836,train,,,
Whole Hippocampus,0.928060467,train,,,
Whole Hippocampus,0.928463171,train,,,
Whole Hippocampus,0.929126368,train,,,
Whole Hippocampus,0.951020953,train,,,
Whole Hippocampus,0.933264623,train,,,
Whole Hippocampus,0.922435363,train,,,
Whole Hippocampus,0.936459134,train,,,
Whole Hippocampus,0.915467917,train,,,
Whole Hippocampus,0.934212592,train,,,
Whole Hippocampus,0.935527748,train,,,
Whole Hippocampus,0.937388649,train,,,
Whole Hippocampus,0.921925134,train,,,
Whole Hippocampus,0.935430712,train,,,
Whole Hippocampus,0.928026781,train,,,
Whole Hippocampus,0.936984378,train,,,
Whole Hippocampus,0.893656716,train,,,
Whole Hippocampus,0.91692481,train,,,
Whole Hippocampus,0.9134042,train,,,
Whole Hippocampus,0.927513228,train,,,
Whole Hippocampus,0.919403942,train,,,
Whole Hippocampus,0.92076326,train,,,
Whole Hippocampus,0.938597616,train,,,
Whole Hippocampus,0.937640872,train,,,
Whole Hippocampus,0.929274005,train,,,
Whole Hippocampus,0.908691473,train,,,
Whole Hippocampus,0.930846931,train,,,
Whole Hippocampus,0.929267526,train,,,
Whole Hippocampus,0.920757363,train,,,
Whole Hippocampus,0.942135801,train,,,
Whole Hippocampus,0.935051412,train,,,
Whole Hippocampus,0.918487891,train,,,
Whole Hippocampus,0.933591423,train,,,
Whole Hippocampus,0.941243582,train,,,
Whole Hippocampus,0.930232558,train,,,
Whole Hippocampus,0.940621725,train,,,
Whole Hippocampus,0.930889653,train,,,
Whole Hippocampus,0.920807726,train,,,
Whole Hippocampus,0.936564505,train,,,
Whole Hippocampus,0.925255049,train,,,
Whole Hippocampus,0.926838735,train,,,
Whole Hippocampus,0.930738876,train,,,
Whole Hippocampus,0.941810643,train,,,
Whole Hippocampus,0.921875,train,,,
Whole Hippocampus,0.945356917,train,,,
Whole Hippocampus,0.919815668,train,,,
Whole Hippocampus,0.942028986,train,,,
Whole Hippocampus,0.941105949,train,,,
Whole Hippocampus,0.913278757,train,,,
Whole Hippocampus,0.903796435,train,,,
Whole Hippocampus,0.909307876,train,,,
Whole Hippocampus,0.893203883,train,,,
Whole Hippocampus,0.933291673,train,,,
Whole Hippocampus,0.94218134,train,,,
Whole Hippocampus,0.930362898,train,,,
Whole Hippocampus,0.935984208,train,,,
Whole Hippocampus,0.938677456,train,,,
Whole Hippocampus,0.936910569,train,,,
Whole Hippocampus,0.934796643,train,,,
Whole Hippocampus,0.922330097,train,,,
Whole Hippocampus,0.918865435,train,,,
Whole Hippocampus,0.938288535,train,,,
Whole Hippocampus,0.943116033,train,,,
Whole Hippocampus,0.928074246,train,,,
Whole Hippocampus,0.93527424,train,,,
Whole Hippocampus,0.936794987,train,,,
Whole Hippocampus,0.917256128,train,,,
Whole Hippocampus,0.940151075,train,,,
Whole Hippocampus,0.948480356,train,,,
Whole Hippocampus,0.927021696,train,,,
Whole Hippocampus,0.934732876,train,,,
Whole Hippocampus,0.937737901,train,,,
Whole Hippocampus,0.947385306,train,,,
Whole Hippocampus,0.930658526,train,,,
Whole Hippocampus,0.937606838,train,,,
Whole Hippocampus,0.922722694,train,,,
Whole Hippocampus,0.920634921,train,,,
Whole Hippocampus,0.926257753,train,,,
Whole Hippocampus,0.9375,train,,,
Whole Hippocampus,0.944888889,train,,,
Whole Hippocampus,0.923138034,train,,,
Whole Hippocampus,0.921578678,train,,,
Whole Hippocampus,0.93230563,train,,,
Whole Hippocampus,0.914285714,train,,,
Whole Hippocampus,0.946257669,train,,,
Whole Hippocampus,0.932764841,train,,,
Whole Hippocampus,0.937135098,train,,,
Whole Hippocampus,0.93355532,train,,,
Whole Hippocampus,0.942182891,train,,,
Whole Hippocampus,0.918544752,train,,,
Whole Hippocampus,0.9382975,train,,,
Whole Hippocampus,0.928818017,train,,,
Whole Hippocampus,0.89047903,train,,,
Whole Hippocampus,0.892405063,train,,,
Whole Hippocampus,0.904960981,train,,,
Whole Hippocampus,0.915059927,train,,,
Whole Hippocampus,0.919651892,train,,,
Whole Hippocampus,0.918318795,train,,,
Whole Hippocampus,0.940093471,train,,,
Whole Hippocampus,0.872557115,train,,,
Whole Hippocampus,0.944832945,train,,,
Whole Hippocampus,0.932549505,train,,,
Whole Hippocampus,0.891916774,train,,,
Whole Hippocampus,0.914691123,train,,,
Whole Hippocampus,0.893353941,train,,,
Whole Hippocampus,0.889443318,train,,,
Whole Hippocampus,0.845817728,train,,,
Whole Hippocampus,0.882922955,train,,,
Whole Hippocampus,0.927448761,train,,,
Whole Hippocampus,0.944027304,train,,,
Whole Hippocampus,0.889426177,train,,,
Whole Hippocampus,0.866308565,train,,,
Whole Hippocampus,0.821829856,train,,,
Whole Hippocampus,0.890476885,train,,,
Whole Hippocampus,0.930373055,train,,,
Whole Hippocampus,0.927066451,train,,,
Whole Hippocampus,0.937290034,train,,,
Whole Hippocampus,0.942774006,train,,,
Whole Hippocampus,0.914688729,train,,,
Whole Hippocampus,0.869389813,train,,,
Whole Hippocampus,0.916680866,train,,,
Whole Hippocampus,0.921719602,train,,,
Whole Hippocampus,0.891263941,train,,,
Whole Hippocampus,0.933559514,train,,,
Whole Hippocampus,0.927929102,train,,,
Whole Hippocampus,0.910872009,train,,,
Whole Hippocampus,0.887486192,train,,,
Whole Hippocampus,0.880191468,train,,,
Whole Hippocampus,0.894582723,train,,,
Whole Hippocampus,0.932695015,train,,,
Whole Hippocampus,0.949783937,train,,,
Whole Hippocampus,0.888480392,train,,,
Whole Hippocampus,0.855787476,train,,,
Whole Hippocampus,0.851782364,train,,,
Whole Hippocampus,0.927352364,train,,,
mean,0.923279173,train,,,
mean,0.895983621,train,,,
mean,0.885227202,train,,,
mean,0.892756778,train,,,
mean,0.911988628,train,,,
mean,0.911739154,train,,,
mean,0.910508415,train,,,
mean,0.870747997,train,,,
mean,0.854113889,train,,,
mean,0.90845,train,,,
mean,0.882541962,train,,,
mean,0.878825472,train,,,
mean,0.864909598,train,,,
mean,0.904981899,train,,,
mean,0.88058632,train,,,
mean,0.913821476,train,,,
mean,0.901857031,train,,,
mean,0.918370067,train,,,
mean,0.897465165,train,,,
mean,0.897482641,train,,,
mean,0.842043863,train,,,
mean,0.844838324,train,,,
mean,0.915548212,train,,,
mean,0.905066891,train,,,
mean,0.816638897,train,,,
mean,0.831672581,train,,,
mean,0.923845226,train,,,
mean,0.874731951,train,,,
mean,0.868268069,train,,,
mean,0.90121016,train,,,
mean,0.912016303,train,,,
mean,0.898869221,train,,,
mean,0.891412459,train,,,
mean,0.888864395,train,,,
mean,0.933765254,train,,,
mean,0.931823684,train,,,
mean,0.909537078,train,,,
mean,0.904676985,train,,,
mean,0.942630044,train,,,
mean,0.901411581,train,,,
mean,0.93955526,train,,,
mean,0.899300172,train,,,
mean,0.919028393,train,,,
mean,0.867295072,train,,,
mean,0.884578066,train,,,
mean,0.923023512,train,,,
mean,0.926930927,train,,,
mean,0.928553208,train,,,
mean,0.928860137,train,,,
mean,0.946821881,train,,,
mean,0.920537832,train,,,
mean,0.897715371,train,,,
mean,0.903356529,train,,,
mean,0.917518507,train,,,
mean,0.934977587,train,,,
mean,0.926887457,train,,,
mean,0.899135108,train,,,
mean,0.885216382,train,,,
mean,0.909686744,train,,,
mean,0.928189244,train,,,
mean,0.913554658,train,,,
mean,0.87281702,train,,,
mean,0.899563509,train,,,
mean,0.859347041,train,,,
mean,0.868155106,train,,,
mean,0.882700784,train,,,
mean,0.911640104,train,,,
mean,0.934658418,train,,,
mean,0.934672733,train,,,
mean,0.926818928,train,,,
mean,0.856149461,train,,,
mean,0.908756562,train,,,
mean,0.906927804,train,,,
mean,0.884842067,train,,,
mean,0.93945956,train,,,
mean,0.920090921,train,,,
mean,0.91607514,train,,,
mean,0.905423805,train,,,
mean,0.920667841,train,,,
mean,0.906249587,train,,,
mean,0.922527134,train,,,
mean,0.930667063,train,,,
mean,0.91993448,train,,,
mean,0.912660905,train,,,
mean,0.90217997,train,,,
mean,0.926836614,train,,,
mean,0.910602101,train,,,
mean,0.936698665,train,,,
mean,0.896462765,train,,,
mean,0.922302298,train,,,
mean,0.918793723,train,,,
mean,0.923978319,train,,,
mean,0.935861235,train,,,
mean,0.868355005,train,,,
mean,0.866288548,train,,,
mean,0.904408698,train,,,
mean,0.871321816,train,,,
mean,0.919164435,train,,,
mean,0.935783979,train,,,
mean,0.920125317,train,,,
mean,0.89155848,train,,,
mean,0.856058834,train,,,
mean,0.911437835,train,,,
mean,0.907713126,train,,,
mean,0.910243161,train,,,
mean,0.89158157,train,,,
mean,0.938353695,train,,,
mean,0.924380561,train,,,
mean,0.909606663,train,,,
mean,0.922426362,train,,,
mean,0.90718196,train,,,
mean,0.886187569,train,,,
mean,0.915551701,train,,,
mean,0.947461532,train,,,
mean,0.92669098,train,,,
mean,0.901466357,train,,,
mean,0.921574175,train,,,
mean,0.942435911,train,,,
mean,0.911372099,train,,,
mean,0.928088233,train,,,
mean,0.92280345,train,,,
mean,0.913541857,train,,,
mean,0.926051293,train,,,
mean,0.937219418,train,,,
mean,0.918740249,train,,,
mean,0.901141625,train,,,
mean,0.919130099,train,,,
mean,0.930602905,train,,,
mean,0.910152788,train,,,
mean,0.933522896,train,,,
mean,0.92074428,train,,,
mean,0.931711009,train,,,
mean,0.93155829,train,,,
mean,0.927417392,train,,,
mean,0.866716509,train,,,
mean,0.913805582,train,,,
mean,0.879763336,train,,,
mean,0.888478696,train,,,
mean,0.85984558,train,,,
mean,0.885357465,train,,,
mean,0.901804974,train,,,
mean,0.917992292,train,,,
mean,0.89631849,train,,,
mean,0.920856179,train,,,
mean,0.855954735,train,,,
mean,0.935411758,train,,,
mean,0.923346598,train,,,
mean,0.888591419,train,,,
mean,0.901139434,train,,,
mean,0.860527824,train,,,
mean,0.879810996,train,,,
mean,0.829533493,train,,,
mean,0.863903401,train,,,
mean,0.896124224,train,,,
mean,0.937173401,train,,,
mean,0.872348278,train,,,
mean,0.863090812,train,,,
mean,0.818455751,train,,,
mean,0.846402103,train,,,
mean,0.911439354,train,,,
mean,0.887330989,train,,,
mean,0.91641123,train,,,
mean,0.941769578,train,,,
mean,0.876593674,train,,,
mean,0.849988571,train,,,
mean,0.918445737,train,,,
mean,0.92253579,train,,,
mean,0.854718339,train,,,
mean,0.93253805,train,,,
mean,0.924664248,train,,,
mean,0.894333664,train,,,
mean,0.859411455,train,,,
mean,0.863260889,train,,,
