ROI_type,dice_coef,task,,,
Vessel,0.32342385,train,,,
Vessel,0.414077607,train,,,
Vessel,0.565188457,train,,,
Vessel,0.508495735,train,,,
Vessel,0.606725279,train,,,
Vessel,0.530076291,train,,,
Vessel,0.616650397,train,,,
Vessel,0.401599869,train,,,
Vessel,0.247500862,train,,,
Vessel,0.036691789,train,,,
Vessel,0.530419667,train,,,
Vessel,0.622598174,train,,,
Vessel,0.587021165,train,,,
Vessel,0.408010013,train,,,
Vessel,0.727980998,train,,,
Vessel,0.282339383,train,,,
Vessel,0.68200115,train,,,
Vessel,0.621118641,train,,,
Vessel,0.029940151,train,,,
Vessel,0.493123016,train,,,
Vessel,0.374132773,train,,,
Vessel,0.387419056,train,,,
Vessel,0.525258914,train,,,
Vessel,0.557239402,train,,,
Vessel,0.67924797,train,,,
Tumor,0,train,,,
Tumor,0.355305466,train,,,
Tumor,0.542588116,train,,,
Tumor,0.143451236,train,,,
Tumor,0.875372816,train,,,
Tumor,0.571810287,train,,,
Tumor,0.81128235,train,,,
Tumor,0.002244669,train,,,
Tumor,0.856455919,train,,,
Tumor,0.783833914,train,,,
Tumor,0.728284779,train,,,
Tumor,0.89119171,train,,,
Tumor,0.031347332,train,,,
Tumor,0.590096689,train,,,
Tumor,0.897196707,train,,,
Tumor,0.906541043,train,,,
Tumor,0.390768795,train,,,
Tumor,0.899804815,train,,,
Tumor,0.817495594,train,,,
Tumor,0.389965792,train,,,
Tumor,0.766381861,train,,,
Tumor,0.888867447,train,,,
Tumor,0.766406962,train,,,
Tumor,0.888003294,train,,,
Tumor,0,train,,,
Tumor,0.848682709,train,,,
Tumor,0.304225662,train,,,
Tumor,0,train,,,
Tumor,0.817700645,train,,,
Tumor,0.672638535,train,,,
Tumor,0.798852547,train,,,
Tumor,0.534016775,train,,,
Tumor,0,train,,,
Tumor,0,train,,,
Tumor,0.680697834,train,,,
Tumor,0.644667938,train,,,
Tumor,0.525108225,train,,,
Tumor,0.745405199,train,,,
Tumor,0,train,,,
Tumor,0,train,,,
Tumor,0.824571213,train,,,
Tumor,0.843084693,train,,,
Tumor,0.591695182,train,,,
Tumor,0.927273809,train,,,
Tumor,0.913423157,train,,,
Tumor,0.267254964,train,,,
Tumor,0,train,,,
Tumor,0.533735098,train,,,
Tumor,0.000681199,train,,,
Tumor,0.285502959,train,,,
Tumor,0.697912061,train,,,
Tumor,0.914918449,train,,,
Tumor,0.696681795,train,,,
Tumor,0.74366872,train,,,
Tumor,0.884110169,train,,,
Tumor,0.281457964,train,,,
Tumor,0.375923025,train,,,
Tumor,0.801306272,train,,,
Tumor,0.878461978,train,,,
Tumor,0.907522508,train,,,
Tumor,0.859548473,train,,,
Tumor,0.216806248,train,,,
Tumor,0.661271949,train,,,
Tumor,0.893441645,train,,,
Tumor,0.882679059,train,,,
Tumor,0.374575449,train,,,
Tumor,0,train,,,
Tumor,0.762553566,train,,,
Tumor,0.35097493,train,,,
Tumor,0,train,,,
Tumor,0.265876376,train,,,
Tumor,0.461609381,train,,,
Tumor,0,train,,,
Tumor,0.902552476,train,,,
Tumor,0,train,,,
Tumor,0.904731817,train,,,
Tumor,0.822125182,train,,,
Tumor,0.521495555,train,,,
Tumor,0.635330451,train,,,
Tumor,0.90419673,train,,,
Tumor,0.908550216,train,,,
Tumor,0.639242646,train,,,
Tumor,0.522682446,train,,,
Tumor,0.595755062,train,,,
Tumor,0.859270502,train,,,
Tumor,0.850122102,train,,,
Tumor,0.783676869,train,,,
Tumor,0.807579353,train,,,
Tumor,0.903885616,train,,,
Tumor,0.932528994,train,,,
Tumor,0.270133333,train,,,
Tumor,0.781809478,train,,,
Tumor,0,train,,,
Tumor,0.498573434,train,,,
Tumor,0.40654649,train,,,
Tumor,0.879289775,train,,,
Tumor,0.346023021,train,,,
Tumor,0.502861929,train,,,
Tumor,0.803865583,train,,,
Tumor,0.879654104,train,,,
Tumor,0.706960007,train,,,
Tumor,0.892783881,train,,,
Tumor,0.792105141,train,,,
Tumor,0.524628163,train,,,
Tumor,0.939362664,train,,,
Tumor,0,train,,,
Tumor,0.839097744,train,,,
Tumor,0.710710259,train,,,
Tumor,0.541000516,train,,,
Tumor,0.034009476,train,,,
Tumor,0.657238334,train,,,
Tumor,0.846631629,train,,,
Tumor,0.696575474,train,,,
Tumor,0.56454462,train,,,
Tumor,0.609330941,train,,,
Tumor,0.832855949,train,,,
Tumor,0.581919691,train,,,
Tumor,0.903713593,train,,,
Tumor,0.165098375,train,,,
Tumor,0.716365577,train,,,
Tumor,0.732525825,train,,,
Tumor,0.766341671,train,,,
Tumor,0.777002748,train,,,
Tumor,0.836837353,train,,,
Tumor,0.856922922,train,,,
Tumor,0.804422543,train,,,
Tumor,0.618826509,train,,,
Tumor,0.868676173,train,,,
Tumor,0.779807002,train,,,
Tumor,0.456123142,train,,,
Tumor,0.46458885,train,,,
Tumor,0.771434573,train,,,
Tumor,0.766328682,train,,,
Tumor,0.150466045,train,,,
Tumor,0,train,,,
Tumor,0.730102174,train,,,
Tumor,0.890333596,train,,,
Tumor,0.630517491,train,,,
Tumor,0.734788842,train,,,
Tumor,0.754994742,train,,,
Tumor,0.938993764,train,,,
Tumor,0.000872015,train,,,
Tumor,0.830915546,train,,,
Tumor,0.934374033,train,,,
Tumor,0.918266505,train,,,
Tumor,0.81055282,train,,,
Tumor,0,train,,,
Tumor,0.210820896,train,,,
Tumor,0.275374239,train,,,
Tumor,0.372582725,train,,,
Tumor,0.595231337,train,,,
Tumor,0.853982867,train,,,
Tumor,0.852546917,train,,,
Tumor,0.721563735,train,,,
Tumor,0.834920749,train,,,
Tumor,0.823989469,train,,,
Tumor,0.7145487,train,,,
Tumor,0.321215855,train,,,
Tumor,0.452218232,train,,,
Tumor,0.665333149,train,,,
Tumor,0.674819236,train,,,
Tumor,0.025247971,train,,,
Tumor,0.249933244,train,,,
Tumor,0.744454356,train,,,
Tumor,0.889258827,train,,,
Tumor,0.169366986,train,,,
Tumor,0,train,,,
Tumor,0.740502438,train,,,
Tumor,0.554937585,train,,,
Tumor,0.13081761,train,,,
Tumor,0.356290174,train,,,
Tumor,0.64661536,train,,,
Tumor,0.826037254,train,,,
Tumor,0.740074442,train,,,
Tumor,0.397913769,train,,,
Tumor,0.779114628,train,,,
Tumor,0.718691782,train,,,
Tumor,0.749845584,train,,,
Tumor,0,train,,,
Tumor,0.044917805,train,,,
Tumor,0.695134062,train,,,
Tumor,0.670103093,train,,,
Tumor,0.341428908,train,,,
Tumor,0,train,,,
Tumor,0,train,,,
Tumor,0.83593214,train,,,
Tumor,0,train,,,
Tumor,0,train,,,
Tumor,0.719101124,train,,,
Tumor,0.666449086,train,,,
Tumor,0.622425629,train,,,
Tumor,0.461694229,train,,,
Tumor,0,train,,,
Tumor,0.535324108,train,,,
Tumor,0.578087458,train,,,
Tumor,0.404454343,train,,,
Tumor,0,train,,,
Tumor,0,train,,,
Tumor,0.70405522,train,,,
Tumor,0.354566385,train,,,
Tumor,0.677428033,train,,,
Tumor,0.828967518,train,,,
Tumor,0.917042296,train,,,
Tumor,0.610788382,train,,,
Tumor,0.110033189,train,,,
Tumor,0.657273104,train,,,
Tumor,0.052941176,train,,,
Tumor,0.823658269,train,,,
Tumor,0.87554408,train,,,
Tumor,0.691743333,train,,,
Tumor,0.086980219,train,,,
Tumor,0.529006063,train,,,
Tumor,0.107698142,train,,,
Tumor,0.45908347,train,,,
Tumor,0.482137442,train,,,
Tumor,0.036217304,train,,,
Tumor,0.299211528,train,,,
Tumor,0.601609136,train,,,
Tumor,0.511682243,train,,,
Tumor,0.390763766,train,,,
Tumor,0.397201463,train,,,
